iter	Passed	Remaining
0	100	100419
1	105	52609
2	110	36645
3	114	28470
4	118	23660
5	123	20444
6	127	18108
7	131	16300
8	135	14908
9	140	13863
10	144	12995
11	148	12231
12	153	11638
13	158	11128
14	162	10659
15	166	10240
16	170	9886
17	175	9549
18	179	9262
19	183	9001
20	188	8774
21	192	8559
22	197	8369
23	201	8181
24	205	8016
25	210	7868
26	214	7731
27	218	7595
28	223	7480
29	227	7371
30	232	7259
31	236	7155
32	240	7050
33	245	6967
34	249	6873
35	253	6799
36	258	6731
37	263	6662
38	267	6580
39	271	6527
40	276	6456
41	280	6408
42	285	6346
43	289	6284
44	292	6199
45	294	6112
46	297	6026
47	301	5971
48	303	5881
49	305	5797
50	307	5715
51	309	5635
52	310	5556
53	312	5477
54	314	5398
55	315	5324
56	317	5250
57	319	5181
58	320	5113
59	322	5045
60	323	4979
61	324	4915
62	326	4854
63	327	4796
64	329	4736
65	330	4680
66	332	4626
67	332	4563
68	334	4514
69	336	4466
70	337	4418
71	339	4371
72	340	4324
73	341	4278
74	343	4233
75	344	4189
76	345	4147
77	347	4105
78	348	4067
79	350	4030
80	351	3993
81	353	3958
82	354	3921
83	356	3886
84	357	3846
85	358	3812
86	359	3774
87	361	3742
88	362	3709
89	363	3678
90	365	3649
91	366	3620
92	369	3599
93	371	3580
94	373	3554
95	374	3529
96	376	3503
97	377	3478
98	379	3455
99	381	3429
100	382	3405
101	383	3375
102	384	3350
103	385	3325
104	387	3301
105	388	3278
106	390	3255
107	391	3233
108	393	3212
109	394	3191
110	395	3170
111	397	3149
112	398	3128
113	399	3108
114	401	3088
115	402	3067
116	404	3050
117	405	3031
118	406	3010
119	408	2992
120	409	2976
121	411	2958
122	411	2936
123	413	2919
124	414	2904
125	416	2888
126	417	2873
127	418	2853
128	420	2838
129	421	2823
130	423	2809
131	424	2794
132	426	2779
133	427	2764
134	429	2749
135	430	2734
136	432	2722
137	433	2706
138	434	2693
139	436	2679
140	437	2667
141	439	2656
142	441	2643
143	442	2630
144	444	2618
145	445	2605
146	446	2593
147	448	2581
148	449	2569
149	451	2557
150	452	2546
151	454	2535
152	456	2524
153	457	2513
154	458	2502
155	460	2491
156	461	2480
157	463	2469
158	464	2459
159	466	2448
160	467	2438
161	469	2428
162	470	2418
163	472	2408
164	473	2398
165	475	2388
166	476	2378
167	478	2369
168	479	2359
169	481	2349
170	482	2340
171	484	2331
172	485	2322
173	487	2312
174	488	2303
175	490	2295
176	491	2286
177	493	2277
178	494	2268
179	496	2259
180	496	2248
181	498	2239
182	499	2231
183	501	2223
184	502	2214
185	504	2206
186	505	2198
187	507	2190
188	508	2183
189	510	2177
190	512	2169
191	513	2161
192	515	2154
193	516	2146
194	517	2138
195	519	2131
196	520	2123
197	522	2116
198	523	2108
199	525	2101
200	526	2094
201	528	2086
202	529	2079
203	531	2073
204	532	2066
205	534	2058
206	535	2051
207	536	2044
208	538	2037
209	539	2031
210	541	2024
211	542	2017
212	544	2011
213	545	2004
214	547	1998
215	548	1992
216	550	1985
217	551	1979
218	553	1973
219	554	1967
220	556	1961
221	557	1954
222	559	1948
223	560	1942
224	562	1936
225	563	1930
226	565	1924
227	566	1918
228	568	1913
229	569	1907
230	571	1901
231	572	1895
232	574	1890
233	575	1884
234	577	1878
235	578	1872
236	580	1867
237	581	1862
238	583	1856
239	584	1851
240	585	1845
241	587	1839
242	588	1834
243	590	1829
244	591	1823
245	593	1818
246	594	1813
247	596	1808
248	597	1803
249	599	1797
250	600	1792
251	602	1787
252	603	1782
253	604	1776
254	606	1771
255	607	1766
256	609	1761
257	610	1756
258	612	1751
259	613	1746
260	615	1741
261	616	1737
262	618	1732
263	619	1727
264	621	1722
265	622	1717
266	624	1713
267	625	1708
268	626	1703
269	628	1698
270	629	1694
271	631	1689
272	632	1684
273	634	1680
274	635	1675
275	636	1670
276	638	1666
277	639	1662
278	641	1657
279	642	1653
280	644	1649
281	645	1644
282	647	1640
283	648	1636
284	650	1631
285	651	1627
286	653	1622
287	654	1618
288	656	1614
289	657	1610
290	659	1606
291	660	1602
292	662	1598
293	663	1594
294	665	1589
295	666	1585
296	668	1581
297	669	1577
298	671	1573
299	672	1569
300	674	1565
301	675	1561
302	677	1557
303	678	1553
304	679	1549
305	681	1545
306	682	1541
307	684	1537
308	685	1533
309	687	1529
310	688	1526
311	690	1522
312	691	1518
313	693	1515
314	694	1511
315	696	1507
316	697	1503
317	699	1499
318	700	1496
319	702	1492
320	703	1488
321	705	1484
322	706	1481
323	709	1479
324	710	1475
325	712	1472
326	713	1469
327	715	1465
328	716	1461
329	718	1458
330	719	1454
331	721	1450
332	722	1447
333	724	1443
334	725	1440
335	727	1436
336	728	1433
337	729	1429
338	731	1426
339	732	1422
340	734	1419
341	735	1415
342	737	1412
343	738	1408
344	740	1405
345	741	1401
346	743	1398
347	744	1395
348	747	1393
349	748	1390
350	750	1387
351	751	1384
352	753	1380
353	754	1377
354	756	1374
355	758	1371
356	759	1368
357	761	1365
358	763	1362
359	765	1360
360	766	1356
361	768	1353
362	769	1350
363	771	1347
364	773	1344
365	774	1341
366	776	1338
367	777	1335
368	779	1332
369	780	1329
370	782	1326
371	784	1323
372	785	1320
373	787	1317
374	788	1314
375	790	1311
376	792	1308
377	793	1306
378	795	1302
379	796	1299
380	798	1296
381	799	1293
382	801	1290
383	802	1288
384	804	1285
385	806	1282
386	808	1280
387	809	1277
388	811	1274
389	813	1271
390	814	1268
391	816	1265
392	817	1262
393	818	1259
394	820	1256
395	822	1253
396	823	1250
397	825	1248
398	826	1244
399	828	1242
400	829	1239
401	831	1236
402	832	1233
403	834	1231
404	836	1228
405	838	1226
406	839	1223
407	841	1220
408	843	1218
409	845	1216
410	846	1213
411	847	1210
412	849	1207
413	850	1204
414	852	1201
415	853	1198
416	855	1195
417	856	1192
418	858	1189
419	859	1187
420	861	1184
421	862	1181
422	864	1178
423	865	1176
424	867	1173
425	868	1170
426	870	1167
427	871	1164
428	873	1161
429	874	1159
430	875	1156
431	877	1153
432	878	1150
433	880	1148
434	882	1146
435	884	1143
436	885	1140
437	886	1137
438	888	1135
439	889	1132
440	891	1129
441	892	1126
442	894	1124
443	895	1121
444	897	1118
445	898	1116
446	900	1113
447	901	1111
448	903	1108
449	904	1105
450	906	1103
451	907	1100
452	909	1097
453	910	1095
454	911	1092
455	913	1089
456	914	1086
457	916	1084
458	917	1081
459	918	1078
460	920	1076
461	921	1073
462	923	1070
463	924	1068
464	926	1065
465	927	1063
466	929	1060
467	930	1058
468	932	1055
469	933	1052
470	935	1050
471	936	1047
472	938	1045
473	940	1043
474	941	1040
475	943	1038
476	944	1036
477	946	1033
478	947	1030
479	949	1028
480	950	1025
481	952	1023
482	953	1020
483	955	1018
484	956	1015
485	958	1013
486	959	1011
487	961	1008
488	962	1005
489	964	1003
490	965	1001
491	967	998
492	968	996
493	970	994
494	972	991
495	973	989
496	975	987
497	977	984
498	978	982
499	980	980
500	981	978
501	983	975
502	985	973
503	987	971
504	988	969
505	990	966
506	992	964
507	993	962
508	995	960
509	996	957
510	998	955
511	999	952
512	1001	950
513	1002	948
514	1004	945
515	1005	943
516	1007	941
517	1008	938
518	1010	936
519	1011	933
520	1012	931
521	1014	928
522	1015	926
523	1017	923
524	1018	921
525	1019	918
526	1021	916
527	1022	914
528	1024	911
529	1025	909
530	1026	907
531	1028	904
532	1029	902
533	1031	899
534	1032	897
535	1033	894
536	1035	892
537	1036	890
538	1038	887
539	1039	885
540	1040	883
541	1042	880
542	1043	878
543	1045	876
544	1046	873
545	1047	871
546	1049	868
547	1050	866
548	1052	864
549	1053	862
550	1055	859
551	1056	857
552	1058	855
553	1059	852
554	1061	850
555	1062	848
556	1063	846
557	1065	843
558	1066	841
559	1068	839
560	1069	836
561	1070	834
562	1072	832
563	1073	829
564	1074	827
565	1076	825
566	1077	823
567	1079	820
568	1080	818
569	1082	816
570	1083	814
571	1084	811
572	1086	809
573	1087	807
574	1089	805
575	1090	802
576	1091	800
577	1093	798
578	1094	796
579	1096	793
580	1097	791
581	1099	789
582	1100	787
583	1101	784
584	1103	782
585	1104	780
586	1106	778
587	1107	776
588	1109	773
589	1110	771
590	1111	769
591	1113	767
592	1114	765
593	1116	763
594	1118	761
595	1119	759
596	1121	757
597	1123	755
598	1124	752
599	1125	750
600	1127	748
601	1128	746
602	1130	744
603	1131	741
604	1133	739
605	1134	737
606	1135	735
607	1137	733
608	1138	731
609	1140	728
610	1141	726
611	1143	724
612	1144	722
613	1145	720
614	1147	718
615	1148	716
616	1150	713
617	1151	711
618	1152	709
619	1154	707
620	1155	705
621	1157	703
622	1158	701
623	1159	698
624	1161	696
625	1162	694
626	1163	692
627	1165	690
628	1166	688
629	1167	685
630	1169	683
631	1170	681
632	1171	679
633	1173	677
634	1174	675
635	1175	672
636	1177	670
637	1178	668
638	1179	666
639	1181	664
640	1182	662
641	1183	660
642	1185	657
